City_ID,city,country,date,lat,lng,max_temp,humidity,cloudiness,wind_speed
163,Esperance,AU,2021-01-19 03:18:24,-33.8667,121.9,87.8,29,0,13.8
164,Hasaki,JP,2021-01-19 03:18:24,35.7333,140.8333,48.0,26,20,24.16
165,Lima,PE,2021-01-19 03:14:17,-12.0432,-77.0282,75.99,83,75,9.22
166,Mahibadhoo,MV,2021-01-19 03:18:25,3.7833,72.9667,81.72,75,65,8.52
167,Pochutla,MX,2021-01-19 03:18:25,15.7432,-96.4661,75.0,70,0,3.18
168,Nioro,GM,2021-01-19 03:13:51,13.35,-15.75,69.24,21,8,7.87
169,Oxford,GB,2021-01-19 03:17:22,51.7522,-1.256,51.8,93,75,14.97
170,Cap Malheureux,MU,2021-01-19 03:18:25,-19.9842,57.6142,80.01,86,89,1.99
171,Dasoguz,TM,2021-01-19 03:18:25,41.8363,59.9666,35.6,87,0,4.61
172,Dwarka,IN,2021-01-19 03:18:25,22.2394,68.9678,68.41,51,0,12.28
173,Paranaiba,BR,2021-01-19 03:14:22,-19.6772,-51.1908,74.03,86,100,2.21
174,Ushumun,RU,2021-01-19 03:18:26,52.7833,126.5333,-19.66,81,0,2.42
175,Mackay,AU,2021-01-19 03:18:26,-21.15,149.2,80.6,78,75,16.11
176,Kaeo,NZ,2021-01-19 03:18:26,-35.1,173.7833,74.37,57,100,14.14
177,Labuhan,ID,2021-01-19 03:18:26,-6.8844,112.2051,80.44,81,70,17.92
178,Pevek,RU,2021-01-19 03:18:26,69.7008,170.3133,-28.57,86,100,6.58
179,Tasiilaq,GL,2021-01-19 03:18:26,65.6145,-37.6368,21.2,42,27,1.14
180,Mana,GF,2021-01-19 03:18:26,5.6592,-53.7767,77.25,83,96,11.74
181,Richards Bay,ZA,2021-01-19 03:18:26,-28.783,32.0377,69.69,86,66,4.29
182,Pangoa,PE,2021-01-19 03:18:26,-12.1167,-73.0,67.19,91,100,1.72
183,Orlik,RU,2021-01-19 03:18:27,52.5178,99.825,10.76,87,36,3.89
184,Macomb,US,2021-01-19 03:15:03,40.4592,-90.6718,32.0,86,1,3.44
185,Leningradskiy,RU,2021-01-19 03:18:27,69.3833,178.4167,-22.16,84,100,12.82
186,Santa Maria,BR,2021-01-19 03:18:27,-29.6842,-53.8069,69.8,83,0,9.22
187,Jamestown,US,2021-01-19 03:18:27,42.097,-79.2353,30.0,86,90,16.11
188,Bilma,NE,2021-01-19 03:18:27,18.6853,12.9164,56.19,36,0,11.83
189,Rozsypne,UA,2021-01-19 03:18:27,48.1497,38.5762,0.37,94,82,3.67
190,Evanston,US,2021-01-19 03:18:27,42.0411,-87.6901,28.0,63,90,8.05
191,Tambo,PE,2021-01-19 03:18:27,-14.8,-73.9167,36.73,100,100,1.23
192,Langxiang,CN,2021-01-19 03:18:28,46.95,128.8833,-7.85,76,1,6.35
193,Teluknaga,ID,2021-01-19 03:18:28,-6.0989,106.6381,82.99,74,40,10.36
194,Boromo,BF,2021-01-19 03:18:28,11.75,-2.9333,69.3,22,3,6.15
195,Kieta,PG,2021-01-19 03:18:28,-6.2167,155.6333,86.13,60,87,3.87
196,Tovarkovo,RU,2021-01-19 03:18:28,54.6762,35.9386,1.4,85,90,1.92
197,New Norfolk,AU,2021-01-19 03:18:28,-42.7826,147.0587,66.0,37,60,4.0
198,Belmonte,BR,2021-01-19 03:18:28,-15.8631,-38.8828,75.2,83,0,2.3
199,Sorong,ID,2021-01-19 03:18:28,-0.8833,131.25,81.16,74,100,7.29
200,Mareeba,AU,2021-01-19 03:18:29,-17.0,145.4333,86.0,70,96,8.05
201,Tiel,NL,2021-01-19 03:18:29,51.8833,5.4333,42.01,87,100,14.0
202,Byron Bay,AU,2021-01-19 03:18:29,-28.65,153.6167,84.0,65,99,5.75
203,Yenagoa,NG,2021-01-19 03:18:29,4.9247,6.2642,76.35,93,52,3.87
204,Champerico,GT,2021-01-19 03:18:29,14.3,-91.9167,64.0,96,0,5.19
205,Yarensk,RU,2021-01-19 03:18:29,62.1675,49.0916,-5.98,91,99,4.97
206,Dakar,SN,2021-01-19 03:18:29,14.6937,-17.4441,64.4,77,0,4.61
