City_ID,city,country,max_temp,description,lat,lng,Hotel Name
376,Ribeira Grande,PT,59.54,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
378,Kolokani,ML,69.78,overcast clouds,13.5728,-8.0339,Lycee Famolo Coulibalibali De Kolokani
379,Araouane,ML,62.98,few clouds,18.9048,-3.5265,
381,Sabla,NG,66.83,clear sky,12.7525,4.7077,
383,Muros,ES,53.01,light rain,42.7762,-9.0603,Apartment Av. Castelao
386,Mpika,ZM,61.68,light rain,-11.8343,31.4529,Melodies Lodge
388,Tura,IN,54.64,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
391,Portland,US,46.4,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
393,Sabha,LY,46.35,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
396,Cervignano Del Friuli,IT,48.2,mist,45.8211,13.3381,Hotel Internazionale
397,Colares,PT,60.01,overcast clouds,38.7992,-9.4469,Arribas Sintra Hotel
398,Refojos De Basto,PT,51.01,overcast clouds,41.5132,-7.9952,Casa De Santa Comba
403,Clevelandia,BR,65.12,moderate rain,-26.3958,-52.4708,
404,Garowe,SO,67.48,clear sky,8.4054,48.4845,Curubo Hotel
405,Ajaccio,FR,57.2,overcast clouds,42.0,8.9167,Sole E Monte
410,Lamar,US,51.01,overcast clouds,33.6668,-95.5836,Kings Inn Paris TX
414,Chatham,GB,41.0,clear sky,51.3789,0.5279,King Charles Hotel
415,Ati,TD,61.75,clear sky,13.2154,18.3353,
420,Stuttgart,DE,50.0,scattered clouds,48.7823,9.177,Hotel Unger
434,Middelburg,ZA,57.61,clear sky,-25.7751,29.4648,Oregon Place Guest House
436,Shingu,JP,53.6,mist,33.7333,135.9833,Shingu UI Hotel
438,Saint George,US,60.8,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
442,Mbigou,GA,67.23,clear sky,-1.9005,11.905999999999999,
451,Pacific Grove,US,53.01,overcast clouds,36.6177,-121.9166,Lovers Point Inn
454,Faya,SA,51.8,dust,18.3851,42.4509,مقبرة ال مجمل
456,Marzuq,YE,55.13,clear sky,14.4,46.4667,
464,Roald,NO,41.0,few clouds,62.5833,6.1333,Flem Cabins
474,Tateyama,JP,53.6,few clouds,34.9833,139.8667,Tateyama Seaside Hotel
481,Ponta Delgada,PT,55.99,few clouds,37.7333,-25.6667,Vila Nova Hotel
484,Seoul,KR,41.0,mist,37.5683,126.9778,Lotte Hotel Seoul
486,Bridgwater,GB,41.0,scattered clouds,51.1284,-3.0036,Premier Inn Bridgwater North (A38) hotel
488,San Javier,ES,61.0,overcast clouds,37.8063,-0.8374,Hotel Mar Menor
489,Adwa,ET,54.59,overcast clouds,14.1646,38.8955,Maay Assa Hotel
499,Bela,IN,47.73,clear sky,25.9333,81.9833,Raj Bhawan
501,Te Anau,NZ,63.91,clear sky,-45.4167,167.7167,Kingsgate Hotel Te Anau
502,Huizhou,CN,66.99,broken clouds,23.0833,114.4,Kempinski Hotel Huizhou
504,Chandur Bazar,IN,60.66,few clouds,21.2417,77.7456,Shri Tirupati Agro Agency
505,Odweyne,SO,65.71,clear sky,9.4092,45.06399999999999,Eng Hiirey House
509,Tariba,VE,67.8,light rain,7.8188,-72.2243,Hotel Las Lomas
513,Waddan,LY,48.24,scattered clouds,29.1614,16.139,محل الشريف محمد العايب
514,Saint-Francois,FR,51.01,overcast clouds,46.4154,3.9054,Manoir Du Bonheur
515,Tignere,CM,62.28,overcast clouds,7.3667,12.65,SADECK
517,Kidal,ML,60.1,clear sky,18.4411,1.4078,
524,Mega,ET,63.43,overcast clouds,4.05,38.3,Amanuel Guest House
538,Shenzhen,CN,70.0,broken clouds,22.5455,114.0683,Shun Hing Square
540,Evans,US,55.99,overcast clouds,33.5337,-82.1307,Wymberly
543,Sayyan,YE,41.67,overcast clouds,15.1718,44.3244,متنزه و بحيرة سيان
544,Turbat,PK,58.68,clear sky,26.0023,63.044,Mubashar Quarters
552,Karpathos,GR,55.4,clear sky,35.507,27.2132,Alex
553,Muriae,BR,69.78,overcast clouds,-21.1306,-42.3664,Premium Plaza Hotel
554,Veraval,IN,65.1,clear sky,20.9,70.3667,Lords Inn Somnath
555,Oyama,JP,46.0,few clouds,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
558,Tiznit,MA,53.73,clear sky,29.5833,-9.5,
559,Azare,NG,61.48,scattered clouds,11.6765,10.1948,Mallam Ayuba Compound
560,Xihe,CN,49.08,overcast clouds,31.6864,113.4659,Xintiandi Business Hotel
564,Rafraf,TN,48.2,scattered clouds,37.1904,10.1837,Les Jardins de la Mer Ghar el Melh
566,Rio Gallegos,AR,64.4,clear sky,-51.6226,-69.2181,Hotel Santa Cruz
567,Hit,IQ,40.5,clear sky,33.6416,42.8251,صالون زيرو
570,Badarwas,IN,53.82,clear sky,24.9667,77.5667,योगराज मोटर्स
572,Tingi,TZ,65.32,light rain,-11.3,35.0333,
578,Bardiyah,LY,52.05,clear sky,31.7561,25.0865,بورتو بردية
583,Lata,PT,59.0,overcast clouds,40.1629,-8.3327,Casa Maquia
588,Shenjiamen,CN,51.33,overcast clouds,29.9576,122.29799999999999,Jinjiang Inn Zhoushan Putuo Shenjiamen
589,Octeville,FR,43.0,broken clouds,49.6261,-1.6435,Hôtel Le Louvre Cherbourg
592,Biberist,CH,44.6,light rain,47.1856,7.5601,Hotel Ambassador
